rank	phenotype	cui	assoc in neigh	assoc in intom	probability	Benjamini-Hochberg	genes	
260	Preeclampsia/eclampsia 1	C0032914	2	371	0.0002837066648766484	0.000362116991643	PTGS1,PTGS2
261	Malignant neoplasm of colon stage IV	C0278484	1	69	0.0002870594771154922	0.000363509749304	PTGS2
262	Premature Birth	C0151526	2	376	0.00029508664938293627	0.000364902506964	PTGS1,PTGS2
263	Hepatitis	C0019159	2	377	0.0002973976899088848	0.000366295264624	PTGS1,PTGS2
264	Pulmonary Disease, Chronic Obstructive	C0024115	2	377	0.0002973976899088848	0.000367688022284	PTGS1,PTGS2
265	Acute Lung Injury	C0242488	1	71	0.000303949895835931	0.000369080779944	PTGS2
266	Adenomatous Polyps	C0206677	1	72	0.0003125736276599067	0.000370473537604	PTGS2
267	latent infection	C0872054	1	73	0.0003213162518758139	0.000371866295265	PTGS2
268	Experimental Autoimmune Encephalomyelitis	C0014072	2	389	0.00032605320994394393	0.000373259052925	PTGS1,PTGS2
269	Bleeding with minor or no trauma	C0019080	1	74	0.000330177725425429	0.000374651810585	PTGS1
270	Polyposis syndrome, mixed hereditary 1 (4)	C0334108	1	74	0.000330177725425429	0.000376044568245	PTGS2
271	Breast Cancer Model	C1511291	1	74	0.000330177725425429	0.000377437325905	PTGS2
272	{Systemic lupus erythematosus, susceptibility to, 8} (2)	C0409974	2	393	0.0003359886356161246	0.000378830083565	PTGS1,PTGS2
273	Oral leukoplakia	C0023532	1	75	0.00033915794784322717	0.000380222841226	PTGS2
274	Postoperative Complications	C0032787	1	75	0.00033915794784322717	0.000381615598886	PTGS2
275	Endometrioma	C0269102	1	75	0.00033915794784322717	0.000383008356546	PTGS2
276	Complications of Diabetes Mellitus	C0342257	1	75	0.00033915794784322717	0.000384401114206	PTGS2
277	Familial adenomatous polyposis 1	C0032580	2	395	0.0003410291324329462	0.000385793871866	PTGS1,PTGS2
278	Nephrocalcinosis	C0027709	1	76	0.0003482568744612724	0.000387186629526	PTGS2
279	Ischemic stroke	C0948008	2	401	0.00035644480269947376	0.000388579387187	PTGS1,PTGS2
280	Pulmonary edema	C0034063	1	77	0.00035747443793265887	0.000389972144847	PTGS2
281	Chronic gastritis	C0085695	1	77	0.00035747443793265887	0.000391364902507	PTGS2
282	Spondylarthropathies	C0949691	1	77	0.00035747443793265887	0.000392757660167	PTGS2
283	Intestinal obstruction	C0021843	1	78	0.00036681062194965364	0.000394150417827	PTGS2
284	Salivary gland neoplasm	C0036095	1	78	0.00036681062194965364	0.000395543175487	PTGS2
285	Drug Allergy	C0013182	1	79	0.0003762652396056554	0.000396935933148	PTGS1
286	Metaplasia	C0025568	1	80	0.00038583836510885927	0.000398328690808	PTGS2
287	M5b Acute differentiated monocytic leukemia	C1318544	1	80	0.00038583836510885927	0.000399721448468	PTGS2
288	Rash and Dermatitis Adverse Event Associated with Chemoradiation	C1559154	1	80	0.00038583836510885927	0.000401114206128	PTGS2
289	Brain Ischemia	C0007786	2	415	0.0003941563727947184	0.000402506963788	PTGS1,PTGS2
290	IMMUNE SUPPRESSION	C0021079	1	81	0.0003955297269939706	0.000403899721448	PTGS2
